Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
Oppdalsbanken,5.65,2800.0,55.0,1200.0,50.0,30,18,100
Romsdal Sparebank,5.3,0,65.0,1000.0,90.0,30,18,100
Oppdalsbanken,6.1,2800.0,55.0,1200.0,75.0,30,18,100
SpareBank 1 Sør-Norg...,6.09,3200.0,60.0,0.0,75.0,30,18,100
Oppdalsbanken,5.75,2800.0,55.0,1200.0,90.0,30,18,33
Romsdal Sparebank,5.4,0,65.0,1000.0,90.0,30,18,33
JBF Bank og Forsikri...,5.38,3200.0,65.0,1000.0,90.0,30,18,33
Soknedal Sparebank,6.2,0,60.0,0,85.0,30,18,100
Haugesund Sparebank,6.25,0,50.0,1000.0,75.0,30,18,100
Hegra Sparebank,9.65,4000.0,0.0,0.0,85.0,2,18,100
Hegra Sparebank,6.5,4000.0,70.0,0.0,60.0,30,18,100
JBF Bank og Forsikri...,5.6,3200.0,65.0,1000.0,75.0,30,18,100
Sparebanken Møre,5.09,2500.0,75.0,1000.0,75.0,30,18,100
JBF Bank og Forsikri...,5.59,3200.0,65.0,1000.0,60.0,30,18,100
Jæren Sparebank,5.54,0,70.0,0,75.0,25,18,100
Sparebanken Møre,4.99,2500.0,75.0,1000.0,75.0,30,18,100
Jæren Sparebank,6.2,0,70.0,0.0,60.0,25,18,100
Berg Sparebank,5.64,3000.0,50.0,1000.0,60.0,25,18,100
SpareBank 1 Ringerik...,5.94,2000.0,50.0,1000.0,90.0,25,34,100
Tolga-Os Sparebank,7.5,2500.0,60.0,1000.0,80.0,2,18,100
Tolga-Os Sparebank,6.5,2500.0,65.0,1000.0,60.0,35,18,100
Berg Sparebank,5.74,3000.0,50.0,1000.0,90.0,30,18,100
Berg Sparebank,5.54,3000.0,50.0,1000.0,75.0,30,18,100
Birkenes Sparebank,5.75,2000.0,50.0,750.0,90.0,30,18,34
Birkenes Sparebank,7.7,2000.0,50.0,750.0,90.0,2,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,39
SpareBank 1 Sør-Norg...,5.54,3200.0,60.0,0,90.0,30,18,99
SpareBank 1 Nord-Nor...,5.08,4000.0,65.0,1300.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.44,0.0,65.0,0.0,90.0,30,18,33
SpareBank 1 Nord-Nor...,5.04,4000.0,65.0,1300.0,75.0,30,18,100
Hegra Sparebank,6.7,4000.0,50.0,0.0,85.0,30,18,100
Sparebanken Øst,5.99,0.0,75.0,0.0,85.0,30,18,100
Sparebanken Øst,5.99,0.0,75.0,0.0,85.0,30,18,100
Sparebanken Øst,6.04,0.0,100.0,0.0,60.0,25,18,100
Sparebanken Øst,6.04,0.0,100.0,0.0,60.0,25,18,100
SpareBank 1 Nord-Nor...,5.14,4000.0,65.0,1300.0,75.0,30,18,100
Rogaland Sparebank,6.19,0,65.0,0,85.0,30,18,100
Rogaland Sparebank,5.29,0.0,65.0,0.0,55.0,30,18,100
Rindal Sparebank,6.2,3000.0,50.0,0.0,75.0,30,18,100
SpareBank 1 Sør-Norg...,6.09,3200.0,70.0,0,60.0,30,18,100
JBF Bank og Forsikri...,5.59,3200.0,65.0,1000.0,60.0,30,18,100
Sparebanken Sør,5.45,2500.0,65.0,1000.0,85.0,30,18,33
Rogaland Sparebank,5.49,0.0,65.0,0.0,85.0,30,18,100
Rogaland Sparebank,5.79,0.0,90.0,0.0,60.0,30,18,100
Oppdalsbanken,5.65,2800.0,0.0,1200.0,60.0,30,18,100
JBF Bank og Forsikri...,5.6,3200.0,65.0,1000.0,75.0,30,18,100
Rogaland Sparebank,5.29,0.0,65.0,0,90.0,30,18,100
Rogaland Sparebank,5.49,0.0,65.0,0,90.0,30,18,33
Rogaland Sparebank,5.99,0.0,65.0,0.0,75.0,30,18,100
Oppdalsbanken,5.35,2800.0,55.0,1200.0,75.0,30,18,100
Sparebanken Møre,5.44,2500.0,75.0,1000.0,85.0,30,18,33
Oppdalsbanken,5.45,2800.0,55.0,1200.0,90.0,30,18,100
Sparebanken Møre,5.39,2500.0,75.0,1000.0,85.0,30,18,33
Oppdalsbanken,6.2,2800.0,55.0,1200.0,90.0,30,18,100
Oppdalsbanken,5.2,2800.0,55.0,1200.0,50.0,30,18,100
SpareBank 1 Sør-Norg...,5.84,3200.0,60.0,0,90.0,30,18,33
Sparebanken Møre,5.39,2500.0,75.0,1000.0,85.0,30,18,100
SpareBank 1 Sør-Norg...,5.44,0.0,60.0,0,85.0,30,18,100
"NORDEA BANK ABP, FIL...",5.04,3500.0,65.0,0,90.0,30,18,33
"NORDEA BANK ABP, FIL...",5.69,0.0,70.0,0.0,60.0,40,18,100
"NORDEA BANK ABP, FIL...",5.7,0.0,50.0,0.0,75.0,30,18,100
"NORDEA BANK ABP, FIL...",5.5,0.0,50.0,0.0,60.0,30,18,100
