Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
Sparebanken DIN Telemark,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Hegra Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Sunndal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 SMN,ATV/snøscooterlån inntil 100%,9.5,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Usikret rammelån,13.99,0.0,0.0,0.0,10000.0,200000.0,23,100,5,0.0
Lillesands Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Østlandet,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Finans Midt-Norge AS,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Valle Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Ringerike Hadeland,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
Odal Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Oppdalsbanken,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Forbrukslån - Gjennomsnitt,15.29,0.0,0.0,30.0,5000.0,600000.0,23,100,5,0.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Refinansiering,12.69,0.0,0.0,30.0,5000.0,800000.0,23,100,15,0.0
Vekselbanken,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Valdres Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Østlandet AS,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
Trøndelag Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Jæren Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
